new_text,new_label
"['اضيف', 'رقم']","['add', 'phone_number']"
['مع'],['add']
"['عايزة', 'اوردر', '3']","['show', 'order', 'item_number']"
"['تبعتلي', 'منيو']","['show', 'Menu']"
"['وقت', 'ايه']","['late', 'late']"
"['الاوردر', 'اد', 'ايه']","['order', 'late', 'late']"
"['اعرضلي', 'المنيو']","['show', 'Menu']"
"['اعرضلي', 'قبل']","['show', 'previous']"
"['احدث', 'العنوان']","['update_data', 'address']"
['الاوردر'],['order']
['العنوان'],['address']
"['2', 'بيتزا', 'كبير', 'بصل']","['item_number', 'ItemName', 'itemSize', 'Exclude']"
['قبل'],['previous']
"['اضيف', 'عنوان', 'الاوردر']","['add', 'address', 'order']"
"['عايزة', 'اروح', 'القائمة']","['show', 'show', 'Menu']"
['القائمة'],['Menu']
['الاوردر'],['order']
"['اشوف', 'الطلبات']","['show', 'order']"
['منيو'],['Menu']
['سلطة'],['ItemName']
"['احذف', 'عنوان']","['delete', 'address']"
['ميل'],['ItemName']
"['تبعتلي', 'الاوردرات', 'القديمة']","['show', 'order', 'previous']"
['عنواني'],['address']
"['اضيف', 'رقم']","['add', 'phone_number']"
['كبير'],['itemSize']
['صغيرة'],['itemSize']
"['الاوردر', 'رقم', 'مجاش', 'لحد', 'دلوقتى']","['order', 'phone_number', 'late', 'late', 'late']"
['رقم'],['phone_number']
"['تفرجيني', 'طلبتها']","['show', 'order']"
"['عنوان', 'البيت']","['address', 'address']"
['2'],['item_number']
['العنوان'],['address']
['اشوف'],['show']
"['الاوردر', 'ايه']","['order', 'late']"
['تعرضلي'],['show']
"['عطيني', 'الطلبات']","['show', 'order']"
"['اعدل', 'رقم']","['edit', 'phone_number']"
"['غير', 'اللغة', 'الانجليزية']","['change', 'Language', 'Language']"
"['تبعتلي', 'الاوردر']","['show', 'order']"
"['3', 'بيتزا', 'كبير']","['item_number', 'ItemName', 'itemSize']"
"['غير', 'رقم', 'الموبايل']","['change', 'phone_number', 'phone_number']"
"['اعرف', 'الاوردر']","['show', 'order']"
['الحجم'],['itemSize']
"['حدثلى', 'رقم', 'للرقم']","['update_data', 'phone_number', 'phone_number']"
['العنوان'],['address']
"['تغيرلي', 'اللغة']","['change', 'Language']"
['مع'],['add']
"['فاضله', 'ايه']","['late', 'late']"
['الغي'],['cancel']
"['رقم', 'الجوال']","['phone_number', 'phone_number']"
['الاوردرات'],['order']
"['اغير', 'لغة']","['change', 'Language']"
['الكارت'],['card']
"['الاوردر', 'للحين']","['order', 'late']"
['الاوردر'],['order']
"['اغير', 'العنوان']","['change', 'address']"
"['تغيير', 'البيانات']","['change', 'update_data']"
['الاوردر'],['order']
['عنواني'],['address']
['الاوردر'],['order']
"['غير', 'اللغة']","['change', 'Language']"
['مع'],['add']
"['شوف', 'الاطباق']","['show', 'Menu']"
['الاوردر'],['order']
"['3', 'ساندوتش', 'شيل']","['item_number', 'ItemName', 'edit']"
"['اضيف', 'عنوان']","['add', 'address']"
"['اشوف', 'المنيو']","['show', 'Menu']"
['الانجليزية'],['Language']
"['اغير', 'العنوان']","['change', 'address']"
"['عنوان', 'البيت']","['address', 'address']"
"['تبعتلي', 'قائمة']","['show', 'Menu']"
"['رقم', 'هاتفى']","['phone_number', 'phone_number']"
"['الاوردر', '2', 'بيتزا', 'مع']","['order', 'item_number', 'ItemName', 'add']"
"['اشوف', 'الاوردر']","['show', 'order']"
"['الطلبات', 'السابقة']","['order', 'previous']"
['العنوان'],['address']
['الاوردر'],['order']
['احذف'],['delete']
"['غير', 'رقم', 'الجوال']","['change', 'phone_number', 'phone_number']"
"['الطلبات', 'لحد']","['order', 'late']"
"['عنوان', 'البيت']","['address', 'address']"
['اغير'],['change']
"['اضيف', 'عنوان', 'البيت']","['add', 'address', 'address']"
['ايه'],['late']
['البيانات'],['update_data']
['عنوان'],['address']
"['منيو', 'بيتزا']","['Menu', 'ItemName']"
"['عايزة', 'اشوف', 'منيو']","['show', 'show', 'Menu']"
"['تضيفلي', 'تشيكن']","['add', 'ItemName']"
"['تفرجيني', 'قائمة', 'تغيير', 'البيانات']","['show', 'Menu', 'change', 'update_data']"
"['رقم', 'الموبايل']","['phone_number', 'phone_number']"
['3'],['item_number']
['الاوردر'],['order']
"['اعرضلي', 'الطلبات', 'طلبتها']","['show', 'order', 'order']"
"['اغير', 'لغة']","['change', 'Language']"
['الكارت'],['card']
['الاوردر'],['order']
"['2', 'بيتزا']","['item_number', 'ItemName']"
['عنواني'],['address']
['اعرضلي'],['show']
"['اغير', 'اللغة']","['change', 'Language']"
['اللغة'],['Language']
"['اشوف', 'الطلبات', 'السابقة']","['show', 'order', 'previous']"
['منيو'],['Menu']
['تعرضلي'],['show']
"['اد', 'ايه']","['late', 'late']"
"['احدث', 'العنوان']","['update_data', 'address']"
['الموبايل'],['phone_number']
['3'],['item_number']
"['وريني', 'الاوردرات', 'طلبتها', 'قبل']","['show', 'order', 'order', 'previous']"
"['عايزة', 'اعرف', 'اوردر']","['show', 'show', 'order']"
"['شوف', 'الطلبات']","['show', 'order']"
['اشوف'],['show']
['الحجم'],['itemSize']
['الموبايل'],['phone_number']
"['الاوردر', 'ايه']","['order', 'late']"
"['تضيفلي', 'رقم', 'موبايلي']","['add', 'phone_number', 'phone_number']"
['عنوان'],['address']
"['تبعتلي', 'الاوردر']","['show', 'order']"
"['شوف', 'منيو']","['show', 'Menu']"
"['فرجيكن', 'عنواني']","['show', 'address']"
['عايزة'],['show']
['الاوردر'],['order']
"['تضيفلي', '3']","['add', 'item_number']"
['الفاتورة'],['invoice']
"['عايزة', 'عنوان', 'البيت']","['show', 'address', 'address']"
"['تغيير', 'رقم']","['change', 'phone_number']"
['اشوف'],['show']
['رقم'],['phone_number']
"['احذف', 'عنواني']","['delete', 'address']"
['عايزة'],['show']
"['تبعتلي', 'منيو']","['show', 'Menu']"
"['عايزة', 'اضيف']","['show', 'add']"
"['اشوف', 'الاوردر']","['show', 'order']"
"['الاوردرات', 'السابقة']","['order', 'previous']"
"['امسح', 'عنواني']","['delete', 'address']"
['عنواني'],['address']
['مع'],['add']
"['اعرضلي', 'اوردر']","['show', 'order']"
"['تابعلي', 'الاوردر']","['show', 'order']"
"['عايزة', 'اسجل', 'عنوان']","['show', 'update_data', 'address']"
['اشوف'],['show']
"['بصل', 'مع']","['Exclude', 'add']"
['منيو'],['Menu']
"['عايزة', 'عنواني']","['show', 'address']"
"['اعرضلي', 'الكارت']","['show', 'card']"
['عايزة'],['show']
['غير'],['change']
"['الاوردر', 'ايه']","['order', 'late']"
['3'],['item_number']
"['اعرضلي', 'الطلبات']","['show', 'order']"
"['قائمة', 'البيانات']","['Menu', 'update_data']"
"['اشوف', 'المنيو']","['show', 'Menu']"
"['تغيرلي', 'رقم', 'موبايلي']","['change', 'phone_number', 'phone_number']"
['رقم'],['phone_number']
"['2', 'بيتزا']","['item_number', 'ItemName']"
['وريني'],['show']
['عنواني'],['address']
['ايه'],['late']
['الاوردر'],['order']
"['عايزة', 'اشوف', 'الاوردرات']","['show', 'show', 'order']"
['العنوان'],['address']
['ايه'],['late']
['رقم'],['phone_number']
['اعدل'],['edit']
"['اعرضلي', 'منيو']","['show', 'Menu']"
"['اضيف', 'عنوان', 'البيت']","['add', 'address', 'address']"
['منيو'],['Menu']
"['شوف', 'قائمة', 'الطعام']","['show', 'Menu', 'Menu']"
"['تطلعنى', 'اوردر']","['show', 'order']"
['عنوان'],['address']
['اضيف'],['add']
['رقم'],['phone_number']
['تغيرلي'],['change']
"['تفرجيني', 'الاوردر']","['show', 'order']"
"['تغير', 'عنوان']","['change', 'address']"
['تفرجيني'],['show']
['القائمة'],['Menu']
"['اضيف', 'عنوان']","['add', 'address']"
['الطعام'],['Menu']
['ايه'],['late']
"['احذف', 'عنواني']","['delete', 'address']"
"['عايزة', 'اعدل', 'رقم']","['show', 'edit', 'phone_number']"
"['تفرجيني', 'الكارت']","['show', 'card']"
"['اسجل', 'عنوان']","['update_data', 'address']"
['عايزة'],['show']
['طلبتها'],['order']
['عنوان'],['address']
['الكارت'],['card']
"['عايزة', 'اضيف']","['show', 'add']"
['الاوردر'],['order']
['قبل'],['previous']
['ميل'],['ItemName']
"['الطلبات', 'لحد', 'دلوقتي']","['order', 'late', 'late']"
"['اضيف', 'رقم']","['add', 'phone_number']"
['منيو'],['Menu']
['مع'],['add']
['الطعام'],['Menu']
"['اسجل', 'عنواني']","['update_data', 'address']"
['ساندوتش'],['ItemName']
"['تعرضلي', 'منيو', 'سبكترا']","['show', 'Menu', 'location']"
['منيو'],['Menu']
['تغيرلي'],['change']
"['تعرضلي', 'منيو']","['show', 'Menu']"
"['2', 'سوبر']","['item_number', 'ItemName']"
['الحجم'],['itemSize']
"['عايزة', 'اغير', 'رقم']","['show', 'change', 'phone_number']"
['الاوردر'],['order']
"['عايزة', 'الفاتورة']","['show', 'invoice']"
['مع'],['add']
"['اضيف', 'رقم']","['add', 'phone_number']"
['المنيو'],['Menu']
['عطيني'],['show']
"['اغير', 'رقم']","['change', 'phone_number']"
['الاوردر'],['order']
['المنيو'],['Menu']
['عايزة'],['show']
"['2', 'بيتزا']","['item_number', 'ItemName']"
['العنوان'],['address']
"['عايزة', 'اشوف', 'الاوردرات']","['show', 'show', 'order']"
"['اسجل', 'عنوان', 'البيت']","['update_data', 'address', 'address']"
"['احذف', 'العنوان']","['delete', 'address']"
['الغي'],['cancel']
"['عايزة', 'دلوقتي']","['show', 'late']"
"['تغيير', 'البيانات']","['change', 'update_data']"
"['احط', 'عنوان']","['add', 'address']"
"['غير', 'رقم', 'الجوال']","['change', 'phone_number', 'phone_number']"
"['عايزة', 'اعرف']","['show', 'show']"
"['رقم', 'موبايلي']","['phone_number', 'phone_number']"
"['اغير', 'بياناتي']","['change', 'update_data']"
"['غير', 'رقم', 'الجوال']","['change', 'phone_number', 'phone_number']"
"['امسح', 'العنوان']","['delete', 'address']"
"['اشوف', 'الاوردرات', 'القديمة']","['show', 'order', 'previous']"
"['رقم', 'للرقم']","['phone_number', 'phone_number']"
"['2', 'ميل']","['item_number', 'ItemName']"
['الطلبات'],['order']
['العنوان'],['address']
['غير'],['change']
"['اغير', 'لغة']","['change', 'Language']"
['تشيكن'],['ItemName']
['منيو'],['Menu']
"['اللغة', 'الانجليزية']","['Language', 'Language']"
"['عايزة', 'احط', 'العنوان']","['show', 'add', 'address']"
"['شوف', 'منيو']","['show', 'Menu']"
"['بيتزا', 'كبيرة']","['ItemName', 'itemSize']"
['كبير'],['itemSize']
['بيتزا'],['ItemName']
"['ايه', 'المنيو']","['late', 'Menu']"
['كبير'],['itemSize']
['الغي'],['cancel']
['اعرضلي'],['show']
"['شوف', 'الطلبات', 'طلبتها']","['show', 'order', 'order']"
['القائمة'],['Menu']
['الاوردر'],['order']
"['اسجل', 'عنوان']","['update_data', 'address']"
['مع'],['add']
['الاوردر'],['order']
"['تضيفلي', 'رقم', 'موبايلي']","['add', 'phone_number', 'phone_number']"
"['قائمة', 'البيتزا']","['Menu', 'ItemName']"
"['اعرضلي', 'الطلبات']","['show', 'order']"
['الاوردر'],['order']
['منيو'],['Menu']
['مع'],['add']
"['اشوف', 'الكارت']","['show', 'card']"
"['اعرف', 'الاوردر']","['show', 'order']"
"['2', 'بيتزا', 'صغيرة', 'مع']","['item_number', 'ItemName', 'itemSize', 'add']"
"['عايزة', 'بيتزا', 'كبير']","['show', 'ItemName', 'itemSize']"
['عايزة'],['show']
"['اضيف', 'رقم']","['add', 'phone_number']"
['المنيو'],['Menu']
"['عايزة', 'احط', 'عنواني']","['show', 'add', 'address']"
['الطلبات'],['order']
['امسح'],['delete']
['الفاتورة'],['invoice']
"['اعرف', 'الاوردر', 'فاضله', 'ايه']","['show', 'order', 'late', 'late']"
['مع'],['add']
['للرقم'],['phone_number']
