,new_text,new_label
84,حذف للرقم 45454444 هضيف رقم,delete phone_number number order phone_number
85,عايزة اعرف اسجل بياناتي,show show update_data update_data
86,القائمة السابقة,Menu previous
87,اغير عنواني,change address
88,الفاتورة,invoice
89,طلبتها,order
90,اللغة,Language
91,الغي,cancel
92,اوردر,order
93,عايزة,show
94,3,item_number
95,تبعتلي,show
96,,
97,عايزة اغير لغة,show change Language
98,المنيو,Menu
99,عايزة اشوف الطلبات السابقة,show show order previous
100,مع,add
101,تعرضلي,show
102,اضيف رقم,add phone_number
103,قديش وقت,show late
104,مع,add
105,اغير,change
106,قائمة الطعام,Menu Menu
107,تغيير عنوان البيت,change address address
108,اعرف,show
109,,
110,اسجل عنوان البيت,update_data address address
111,الطلبات طلبتها,order order
112,القائمة,Menu
113,,
114,الفاتورة,invoice
115,,
116,عنواني,address
117,تفرجيني قائمة الطلبات السابقة,show Menu order previous
118,مع,add
119,,
120,,
121,رقم للرقم,phone_number phone_number
122,صغيرة,itemSize
123,شوف الطلبات السابقة,show order previous
124,,
125,كام,invoice
126,شوف ايه,show late
127,,
128,,
129,القائمة,Menu
130,ساندوتش,ItemName
131,,
132,ساندوتش,ItemName
133,كبير,itemSize
134,2 بيتزا كبيرة بدون,item_number ItemName itemSize Exclude
135,,
136,اشوف الاوردر,show order
137,العنوان,address
138,ساندوتش,ItemName
139,العنوان,address
140,تغيير البيانات,change update_data
141,اعرف الاوردر ايه,show order late
142,الحجم,itemSize
143,عنواني,address
144,3,item_number
145,ايه,late
146,عطيني قائمة الاوردر,show Menu order
147,,
148,,
149,اشوف منيو,show Menu
150,عايزة اشوف الطلبات,show show order
151,اللغة,Language
152,تفرجيني القائمة,show Menu
153,5 كبير,item_number itemSize
154,بدون,Exclude
155,شوف المنيو,show Menu
156,,
157,اضيف,add
158,,
159,,
160,,
161,رقم,phone_number
162,عايزة اغير,show change
163,,
164,عطيني قائمة الطلبات طلبتها,show Menu order order
165,الغي عنواني,cancel address
166,,
167,امسح العنوان,delete address
168,تشيكن كبير,ItemName itemSize
169,,
170,سلطة كبير بصل,ItemName itemSize Exclude
171,الانجليزية,Language
172,احذف العنوان,delete address
173,الاوردر,order
174,الاوردر,order
175,عايزة اعدل عنوان,show edit address
176,مع,add
177,احذف,delete
178,اعرف اسجل بياناتي,show update_data update_data
179,منيو,Menu
180,,
181,,
182,الفاتورة,invoice
183,ايه,late
184,شوف الطلبات,show order
185,ايه,late
186,العنوان,address
187,,
188,,
189,اللغة,Language
190,الغي,cancel
191,تفرجيني المنيو,show Menu
192,عايزة,show
193,,
194,الاوردر دلوقتي,order late
195,اغير عنوان,change address
196,اغير العنوان,change address
197,اغير,change
198,,
199,,
200,ايه,late
201,3,item_number
202,الهابي ميل,ItemName ItemName
203,,
204,شوف منيو,show Menu
205,الطلبات,order
206,رقم الموبايل,phone_number phone_number
207,اشوف منيو,show Menu
208,الغي,cancel
209,,
210,,
211,شوف الكارت,show card
212,3,item_number
213,كوردن بلو,ItemName ItemName
214,تغيرلي اللغة,change Language
215,اغير رقم,change phone_number
216,عايزة اضيف عنوان,show add address
217,,
218,احدد عنوان البيت,add address address
219,غير رقم الموبايل,change phone_number phone_number
220,الاوردر دلوقتي,order late
221,الاوردرات القديمة,order previous
222,منيو,Menu
223,,
224,احذف رقم الموبايل,delete phone_number phone_number
225,,
226,القائمة,Menu
227,اغير رقم,change phone_number
228,,
229,العنوان,address
230,اضيف,add
231,3 بيتزا,item_number ItemName
232,الحجم,itemSize
233,احذف العنوان,delete address
234,اشوف منيو بيتزا,show Menu ItemName
235,,
236,الهابي ميل,ItemName ItemName
237,,
238,طلباتي,order
239,,
240,,
241,الغي,cancel
242,اروح القائمة,show Menu
243,الفاتورة,invoice
244,,
245,قائمة تغيير البيانات,Menu change update_data
246,تغيير الجوال,change phone_number
247,,
248,المنيو,Menu
249,الاوردر 3 بيتزا مع كبير,order item_number ItemName add itemSize
250,,
251,,
252,2 ساندوتش كبير مع,item_number ItemName itemSize add
253,3,item_number
254,,
255,تبعتلي منيو,show Menu
256,,
257,,
258,الاوردر,order
259,العنوان,address
260,اغير لغة الانجليزية,change Language Language
261,بصل,Exclude
262,,
263,,
264,الاوردر,order
265,,
266,عايزة عنوان,show address
267,الاوردر لحد,order late
268,,
269,عايزة,show
270,,
271,,
272,,
273,المنيو,Menu
274,عايزة الحجم الكبير,show itemSize itemSize
275,اشوف منيو,show Menu
276,غير اللغة,change Language
277,,
278,الطلبات,order
279,شوف منيو,show Menu
280,,
281,وقت,late
282,,
283,ايه,late
284,قبل,previous
285,,
286,,
287,رقم هاتفى للرقم,phone_number phone_number phone_number
288,,
289,تبعتلي,show
290,,
291,المنيو,Menu
292,قبل,previous
293,الغي,cancel
294,الانجليزية,Language
295,اضيف عنواني,add address
296,منيو,Menu
297,الاوردر,order
298,رقم الموبايل,phone_number phone_number
299,رقم,phone_number
300,الاوردرات طلبتها قبل,order order previous
301,,
302,,
303,الطلبات,order
304,اعرف الاوردر رقم موصلش,show order phone_number late
305,الاوردرات السابقة,order previous
306,شوف منيو,show Menu
307,اشوف الاوردر,show order
308,,
309,,
310,الفاتورة كام,invoice invoice
311,عايزة عنوان البيت,show address address
312,القائمة,Menu
313,,
314,,
315,كبيرة,itemSize
316,عايزة اشوف الطلبات,show show order
317,,
318,العنوان,address
319,وريني الاوردرات طلبتها قبل,show order order previous
320,,
321,3 بيتزا,item_number ItemName
322,مع,add
323,لحد,late
324,رقم,phone_number
325,,
326,شوف منيو,show Menu
327,الاوردر 2 ساندوتش,order item_number ItemName
328,,
329,الطلبات,order
330,عايزة اشوف الطلبات,show show order
331,شوف قائمة السندوتشات,show Menu ItemName
332,غير بصل,change Exclude
333,,
334,3,item_number
335,تغيير البيانات,change update_data
336,اشوف منيو,show Menu
337,العنوان,address
338,اشوف الاوردر,show order
339,شوف الاوردرات السابقة,show order previous
340,اضيف عنواني,add address
341,اعدل العنوان,edit address
342,وريني الاوردرات السابقة,show order previous
343,تفرجيني القائمة,show Menu
344,اشوف الاشياء طلبتها,show order order
345,اعرف,show
346,عايزة 3 بيتزا,show item_number ItemName
347,,
348,,
349,غير,change
350,امسح,delete
351,,
352,عايزة,show
353,اغير لغة,change Language
354,عايزة,show
355,شيل العنوان,edit address
356,الاوردر رقم موصلش ايه,order phone_number late late
357,,
358,الاوردر,order
359,,
360,مع,add
361,,
362,عنوان البيت,address address
363,شوف الطلبات السابقة قبل,show order previous previous
364,مع,add
365,ايه,late
366,الاوردر,order
367,كبير,itemSize
368,غير العنوان,change address
369,عنواني,address
370,2,item_number
371,,
372,عنوان البيت,address address
373,اوردر,order
374,تفرجيني الطلبات,show order
375,الاوردر,order
376,عطيني 2 ساندوتش مع,show item_number ItemName add
377,العنوان,address
378,مع,add
379,,
380,اغير عنوان البيت,change address address
381,,
382,,
383,,
384,,
385,2,item_number
386,,
387,القديمة,previous
388,ايه,late
389,تغيير البيانات,change update_data
390,ساندوتش,ItemName
391,الاوردر,order
392,,
393,الاوردر,order
394,ساندوتش,ItemName
395,مع,add
396,وقت,late
397,الاوردر,order
398,اشوف قبل,show previous
399,,
400,اشوف منيو البيتزا,show Menu ItemName
401,الاوردر موصلش,order late
402,بيتزا,ItemName
403,الاوردر,order
404,تفرجيني الكارت,show card
405,شوف,show
406,,
407,اغير,change
408,,
409,,
410,,
411,مع,add
412,الطلبات,order
413,اضيف عنوان,add address
414,,
415,3,item_number
416,الحجم الكبير,itemSize itemSize
417,,
418,اشوف الطلبات,show order
419,مع,add
420,نظره,show
421,رقم,phone_number
422,عايزة اعرف كام,show show invoice
423,,
424,تعرضلي منيو,show Menu
425,اسجل عنوان,update_data address
426,عنواني,address
427,مع,add
428,,
429,2,item_number
430,,
431,الغي العنوان,cancel address
432,,
433,غير,change
434,كبير,itemSize
435,,
436,عايزة,show
437,عايزة,show
438,واحد,item_number
439,تعرضلي الاوردر,show order
440,,
441,,
442,اضيف رقم,add phone_number
443,,
444,,
445,مع,add
446,عايزة اوردر 3,show order item_number
447,تبعتلي منيو,show Menu
448,,
449,,
450,وقت ايه,late late
451,الاوردر اد ايه,order late late
452,اعرضلي المنيو,show Menu
453,اعرضلي قبل,show previous
454,احدث العنوان,update_data address
455,الاوردر,order
456,,
457,العنوان,address
458,2 بيتزا كبير بصل,item_number ItemName itemSize Exclude
459,,
460,قبل,previous
461,اضيف عنوان الاوردر,add address order
462,عايزة اروح القائمة,show show Menu
463,,
464,القائمة,Menu
465,الاوردر,order
466,اشوف الطلبات,show order
467,منيو,Menu
468,سلطة,ItemName
469,احذف عنوان,delete address
470,ميل,ItemName
471,,
472,,
473,تبعتلي الاوردرات القديمة,show order previous
474,عنواني,address
475,اضيف رقم,add phone_number
476,كبير,itemSize
477,صغيرة,itemSize
478,,
479,الاوردر رقم مجاش لحد دلوقتى,order phone_number late late late
480,رقم,phone_number
481,تفرجيني طلبتها,show order
482,عنوان البيت,address address
483,2,item_number
484,العنوان,address
485,,
486,اشوف,show
487,الاوردر ايه,order late
488,تعرضلي,show
489,عطيني الطلبات,show order
490,اعدل رقم,edit phone_number
491,,
492,غير اللغة الانجليزية,change Language Language
493,,
494,تبعتلي الاوردر,show order
495,3 بيتزا كبير,item_number ItemName itemSize
496,غير رقم الموبايل,change phone_number phone_number
497,اعرف الاوردر,show order
498,الحجم,itemSize
499,حدثلى رقم للرقم,update_data phone_number phone_number
500,العنوان,address
501,تغيرلي اللغة,change Language
502,,
503,مع,add
504,فاضله ايه,late late
505,الغي,cancel
506,رقم الجوال,phone_number phone_number
507,,
508,الاوردرات,order
509,اغير لغة,change Language
510,,
511,,
512,الكارت,card
513,الاوردر للحين,order late
514,,
515,,
516,,
517,الاوردر,order
518,اغير العنوان,change address
519,تغيير البيانات,change update_data
520,الاوردر,order
521,عنواني,address
522,,
523,الاوردر,order
524,غير اللغة,change Language
525,مع,add
526,شوف الاطباق,show Menu
527,,
528,الاوردر,order
529,3 ساندوتش شيل,item_number ItemName edit
530,اضيف عنوان,add address
531,اشوف المنيو,show Menu
532,الانجليزية,Language
533,اغير العنوان,change address
534,عنوان البيت,address address
535,تبعتلي قائمة,show Menu
536,,
537,,
538,رقم هاتفى,phone_number phone_number
539,الاوردر 2 بيتزا مع,order item_number ItemName add
540,اشوف الاوردر,show order
541,بصل,Exclude
542,الطلبات السابقة,order previous
543,العنوان,address
544,الاوردر,order
545,احذف,delete
546,غير رقم الجوال,change phone_number phone_number
547,,
548,الطلبات لحد,order late
549,عنوان البيت,address address
550,,
551,اغير,change
552,اضيف عنوان البيت,add address address
553,ايه,late
554,البيانات,update_data
555,عنوان,address
556,,
557,,
558,منيو بيتزا,Menu ItemName
559,,
560,,
561,عايزة اشوف منيو,show show Menu
562,,
563,تضيفلي تشيكن,add ItemName
564,تفرجيني قائمة تغيير البيانات,show Menu change update_data
565,رقم الموبايل,phone_number phone_number
566,3,item_number
567,,
568,الاوردر,order
569,اعرضلي الطلبات طلبتها,show order order
570,,
571,,
572,اغير لغة,change Language
573,الكارت,card
574,الاوردر,order
575,2 بيتزا,item_number ItemName
576,عنواني,address
577,اعرضلي,show
578,,
579,اغير اللغة,change Language
580,,
581,اللغة,Language
582,اشوف الطلبات السابقة,show order previous
583,منيو,Menu
584,تعرضلي,show
585,اد ايه,late late
586,احدث العنوان,update_data address
587,الموبايل,phone_number
588,,
589,3,item_number
590,وريني الاوردرات طلبتها قبل,show order order previous
591,,
592,,
593,عايزة اعرف اوردر,show show order
594,,
595,شوف الطلبات,show order
596,اشوف,show
597,الحجم,itemSize
598,الموبايل,phone_number
599,الاوردر ايه,order late
600,تضيفلي رقم موبايلي,add phone_number phone_number
601,عنوان,address
602,تبعتلي الاوردر,show order
603,شوف منيو,show Menu
604,,
605,,
606,فرجيكن عنواني,show address
607,,
608,عايزة,show
609,الاوردر,order
610,,
611,تضيفلي 3,add item_number
612,,
613,,
614,,
615,,
616,الفاتورة,invoice
617,عايزة عنوان البيت,show address address
618,تغيير رقم,change phone_number
619,اشوف,show
620,رقم,phone_number
621,احذف عنواني,delete address
622,عايزة,show
623,تبعتلي منيو,show Menu
624,عايزة اضيف,show add
625,اشوف الاوردر,show order
626,الاوردرات السابقة,order previous
627,امسح عنواني,delete address
628,عنواني,address
629,مع,add
630,اعرضلي اوردر,show order
631,,
632,,
633,,
634,تابعلي الاوردر,show order
635,عايزة اسجل عنوان,show update_data address
636,,
637,,
638,اشوف,show
639,بصل مع,Exclude add
640,منيو,Menu
641,,
642,عايزة عنواني,show address
643,,
644,اعرضلي الكارت,show card
645,,
646,عايزة,show
647,,
648,غير,change
649,الاوردر ايه,order late
650,3,item_number
651,اعرضلي الطلبات,show order
652,,
653,قائمة البيانات,Menu update_data
654,,
655,,
656,,
657,اشوف المنيو,show Menu
658,تغيرلي رقم موبايلي,change phone_number phone_number
659,رقم,phone_number
660,,
661,,
662,,
663,2 بيتزا,item_number ItemName
664,,
665,وريني,show
666,عنواني,address
667,,
668,ايه,late
669,الاوردر,order
670,,
671,عايزة اشوف الاوردرات,show show order
672,,
673,,
674,العنوان,address
675,ايه,late
676,رقم,phone_number
677,اعدل,edit
678,اعرضلي منيو,show Menu
679,,
680,,
681,اضيف عنوان البيت,add address address
682,منيو,Menu
683,,
684,شوف قائمة الطعام,show Menu Menu
685,,
686,تطلعنى اوردر,show order
687,عنوان,address
688,اضيف,add
689,,
690,رقم,phone_number
691,تغيرلي,change
692,تفرجيني الاوردر,show order
693,تغير عنوان,change address
694,تفرجيني,show
695,,
696,القائمة,Menu
697,,
698,اضيف عنوان,add address
699,الطعام,Menu
700,ايه,late
701,احذف عنواني,delete address
702,,
703,عايزة اعدل رقم,show edit phone_number
704,,
705,تفرجيني الكارت,show card
706,,
707,اسجل عنوان,update_data address
708,,
709,عايزة,show
710,طلبتها,order
711,,
712,عنوان,address
713,,
714,الكارت,card
715,عايزة اضيف,show add
716,الاوردر,order
717,قبل,previous
718,,
719,ميل,ItemName
720,الطلبات لحد دلوقتي,order late late
721,,
722,اضيف رقم,add phone_number
723,,
724,منيو,Menu
725,مع,add
726,الطعام,Menu
727,اسجل عنواني,update_data address
728,ساندوتش,ItemName
729,تعرضلي منيو سبكترا,show Menu location
730,منيو,Menu
731,,
732,تغيرلي,change
733,تعرضلي منيو,show Menu
734,2 سوبر,item_number ItemName
735,الحجم,itemSize
736,عايزة اغير رقم,show change phone_number
737,,
738,الاوردر,order
739,عايزة الفاتورة,show invoice
740,مع,add
741,اضيف رقم,add phone_number
742,المنيو,Menu
743,,
744,,
745,عطيني,show
746,اغير رقم,change phone_number
747,,
748,الاوردر,order
749,المنيو,Menu
750,,
751,عايزة,show
752,,
753,2 بيتزا,item_number ItemName
754,العنوان,address
755,عايزة اشوف الاوردرات,show show order
756,,
757,اسجل عنوان البيت,update_data address address
758,,
759,احذف العنوان,delete address
760,,
761,الغي,cancel
762,عايزة دلوقتي,show late
763,تغيير البيانات,change update_data
764,احط عنوان,add address
765,غير رقم الجوال,change phone_number phone_number
766,عايزة اعرف,show show
767,رقم موبايلي,phone_number phone_number
768,اغير بياناتي,change update_data
769,,
770,,
771,غير رقم الجوال,change phone_number phone_number
772,امسح العنوان,delete address
773,اشوف الاوردرات القديمة,show order previous
774,رقم للرقم,phone_number phone_number
775,2 ميل,item_number ItemName
776,الطلبات,order
777,العنوان,address
778,غير,change
779,اغير لغة,change Language
780,تشيكن,ItemName
781,منيو,Menu
782,اللغة الانجليزية,Language Language
783,عايزة احط العنوان,show add address
784,شوف منيو,show Menu
785,,
786,بيتزا كبيرة,ItemName itemSize
787,,
788,كبير,itemSize
789,,
790,بيتزا,ItemName
791,,
792,ايه المنيو,late Menu
793,كبير,itemSize
794,,
795,الغي,cancel
796,اعرضلي,show
797,شوف الطلبات طلبتها,show order order
798,القائمة,Menu
799,,
800,الاوردر,order
801,,
802,,
803,,
804,اسجل عنوان,update_data address
805,مع,add
806,,
807,,
808,الاوردر,order
809,تضيفلي رقم موبايلي,add phone_number phone_number
810,قائمة البيتزا,Menu ItemName
811,اعرضلي الطلبات,show order
812,الاوردر,order
813,,
814,منيو,Menu
815,مع,add
816,,
817,اشوف الكارت,show card
818,اعرف الاوردر,show order
819,2 بيتزا صغيرة مع,item_number ItemName itemSize add
820,عايزة بيتزا كبير,show ItemName itemSize
821,عايزة,show
822,اضيف رقم,add phone_number
823,المنيو,Menu
824,,
825,عايزة احط عنواني,show add address
826,الطلبات,order
827,,
828,امسح,delete
829,,
830,الفاتورة,invoice
831,اعرف الاوردر فاضله ايه,show order late late
832,مع,add
833,للرقم,phone_number
834,عايزة سلطة,show ItemName
835,,
836,اشوف المنيو,show Menu
837,تابعلي الطلبات,show order
838,,
839,عايزة,show
840,,
841,كام,invoice
842,,
843,عايزة اغير العنوان,show change address
844,,
845,2 تشيكن,item_number ItemName
846,قائمة تغيير البيانات,Menu change update_data
847,,
848,اضيف,add
849,قائمة الطلبات السابقة,Menu order previous
850,شيل العنوان,edit address
851,,
852,,
853,رقم هاتفى للرقم,phone_number phone_number phone_number
854,,
855,,
856,عايزة,show
857,,
858,اعرضلي,show
859,,
860,,
861,رقم هاتفى,phone_number phone_number
862,اعرف,show
863,اد ايه,late late
864,المنيو,Menu
865,الغي,cancel
866,عنوان,address
867,اضيف,add
868,,
869,طلبتها,order
870,منيو,Menu
871,,
872,احذف العنوان,delete address
873,عايزة اسجل عنوان,show update_data address
874,,
875,عايزة,show
876,,
877,عايزة الفاتورة,show invoice
878,,
879,,
880,الغي,cancel
881,سلطة,ItemName
882,منيو,Menu
883,,
884,,
885,,
886,عايزة احدد,show add
887,2,item_number
888,تفرجيني منيو,show Menu
889,رقم موبايلي,phone_number phone_number
890,,
891,عايزة عنوان,show address
892,اغير,change
893,بيتزا,ItemName
894,,
895,,
896,,
897,,
898,عايزة,show
899,العنوان,address
900,,
901,احط رقم,add phone_number
902,,
903,,
904,قائمة الطعام,Menu Menu
905,وريني قائمة البيتزا,show Menu ItemName
906,امسح العنوان,delete address
907,تغيير البيانات,change update_data
908,شيل,edit
909,القائمة,Menu
910,العنوان,address
911,شوف الكارت,show card
912,المنيو,Menu
913,تعرضلي الطلبات طلبتها قبل,show order order previous
914,عنوان,address
915,منيو,Menu
916,القائمة,Menu
917,اوردر,order
918,,
919,3 مع سلطة سيزر,item_number add ItemName ItemName
920,اعرف,show
921,,
922,عايزة,show
923,تفرجيني المنيو,show Menu
924,,
925,طلبتها,order
926,2 مع كبير,item_number add itemSize
927,ميل,ItemName
928,2,item_number
929,اشوف الطلبات,show order
930,,
931,اغير البيت,change address
932,الفاتورة,invoice
933,اضيف عنوان,add address
934,منيو,Menu
935,تغيرلي عنوان,change address
936,عنوان البيت,address address
937,,
938,,
939,مع,add
940,الاوردر,order
941,امسح عنواني,delete address
942,ميل,ItemName
943,الطعام,Menu
944,الاوردر,order
945,تضيفلي تشيكن,add ItemName
946,اروح,show
947,,
948,حدثلى رقم للرقم,update_data phone_number phone_number
949,القديمة,previous
950,3 تشيكن ميل,item_number ItemName ItemName
951,تبعتلي قائمة تغيير البيانات,show Menu change update_data
952,عايزة اوردر 3,show order item_number
953,شوف ايه,show late
954,عنوان,address
955,,
956,,
957,عايزة مع,show add
958,,
959,العنوان,address
960,عايزة الاوردر,show order
961,السندوتشات,ItemName
962,اغير رقم,change phone_number
963,,
964,,
965,كبيرة,itemSize
966,منيو,Menu
967,قديش وقت الاوردر,show late order
968,,
969,تغيير,change
970,دلوقتي,late
971,اشوف منيو,show Menu
972,عايزة اغير رقم للرقم,show change phone_number phone_number
973,تطلعنى,show
974,رقم هاتفى الجوال للرقم,phone_number phone_number phone_number phone_number
975,2 بيتزا,item_number ItemName
976,الاوردر,order
977,,
978,الغي العنوان,cancel address
979,مع,add
980,الغي تشيكن ميل,cancel ItemName ItemName
981,,
982,دلوقتي,late
983,تفرجيني الكارت,show card
984,,
985,اضيف رقم,add phone_number
986,تفرجيني منيو,show Menu
987,,
988,غير رقم الجوال,change phone_number phone_number
989,اعرف الاوردر لحد,show order late
990,اغير اللغة,change Language
991,,
992,اسجل عنوان,update_data address
993,,
994,الاوردر,order
995,,
996,,
997,اشوف منيو,show Menu
998,,
999,دلوقتى,late
1000,,
1001,,
1002,عايزة اعدل,show edit
1003,3,item_number
1004,عنواني,address
1005,2 بيتزا,item_number ItemName
1006,اشوف المنيو,show Menu
1007,للرقم,phone_number
1008,,
1009,عنوان,address
1010,تغير العنوان,change address
1011,,
1012,اسجل عنوان,update_data address
1013,الاوردر,order
1014,غير رقم,change phone_number
1015,,
1016,الاوردر,order
1017,قائمة الطعام,Menu Menu
1018,,
1019,الاوردر,order
1020,مع,add
1021,تغيرلي عنوان البيت عنوان,change address address address
1022,الغي عنواني,cancel address
1023,تبعتلي المنيو,show Menu
1024,اشوف منيو,show Menu
1025,كبير,itemSize
1026,عايزة اضيف عنوان,show add address
1027,2,item_number
1028,الاوردر,order
1029,اغير رقم للرقم,change phone_number phone_number
1030,اشوف,show
1031,عايزة الاوردرات السابقة,show order previous
1032,تفرجيني القائمة,show Menu
1033,,
1034,,
1035,,
1036,اشوف منيو,show Menu
1037,3,item_number
1038,اسجل العنوان,update_data address
1039,اغير رقم,change phone_number
1040,,
1041,اشوف الاوردرات القديمة,show order previous
1042,شوف,show
1043,تفرجيني,show
1044,غير لغة,change Language
1045,,
1046,,
1047,عايزة اضيف العنوان,show add address
1048,تفرجيني المنيو,show Menu
1049,غير رقم,change phone_number
1050,احط العنوان,add address
1051,الطلبات,order
1052,عايزة احدد عنواني,show add address
1053,,
1054,,
1055,,
1056,عطيني المنيو,show Menu
1057,,
1058,امسح,delete
1059,الغي,cancel
1060,,
1061,ايه,late
1062,عايزة اضيف العنوان,show add address
1063,مع,add
1064,مع,add
1065,اللغة,Language
1066,عنوان,address
1067,العنوان,address
1068,,
1069,,
1070,مع,add
1071,اضيف,add
1072,,
1073,اشوف الطلبات السابقة,show order previous
1074,,
1075,الطلبات,order
1076,,
1077,,
1078,ايه,late
1079,اضيف 3 تشيكن مع الاوردر,add item_number ItemName add order
1080,2 كبير,item_number itemSize
1081,تفرجيني منيو,show Menu
1082,,
1083,,
1084,منيو,Menu
1085,,
1086,,
1087,رقم البيت,phone_number address
1088,تفرجيني قائمة الطلبات السابقة,show Menu order previous
1089,مع,add
1090,,
1091,,
1092,بيتزا,ItemName
1093,الاوردر,order
1094,اشوف الاوردر,show order
1095,اضيف,add
1096,3 ساندوتش,item_number ItemName
1097,شوف المنيو,show Menu
1098,القائمة,Menu
1099,الغي العنوان,cancel address
1100,الاوردر,order
1101,الاوردر كام,order invoice
1102,شوف الكارت,show card
1103,رقم,phone_number
1104,,
1105,الاوردر,order
1106,,
1107,اعرضلي قائمة,show Menu
1108,غير العنوان,change address
1109,غير عنوان,change address
1110,الغي عنواني,cancel address
1111,تغيير رقم الجوال للرقم,change phone_number phone_number phone_number
1112,اغير,change
1113,,
1114,تغير رقم,change phone_number
1115,عنوان,address
1116,تابعلي الاوردر,show order
1117,اللغة,Language
1118,عايزة اعرف الاوردر وقت اد ايه,show show order late late late
1119,,
1120,عنوان,address
1121,تابعلي الاوردر,show order
1122,اشوف منيو,show Menu
1123,تغيرلي عنوان البيت,change address address
1124,اعرضلي منيو البيتزا بيتزا,show Menu ItemName ItemName
1125,الاوردر,order
1126,موصلش,late
1127,,
1128,,
1129,عنوان,address
1130,عايزة اسجل عنوان,show update_data address
1131,مع,add
1132,,
1133,المنيو,Menu
1134,اعرف الطلبات,show order
1135,اسجل العنوان,update_data address
1136,الاوردر,order
1137,اغير رقم للرقم,change phone_number phone_number
1138,,
1139,ايه,late
1140,اشوف الكارت,show card
1141,,
1142,غير رقم الموبايل,change phone_number phone_number
1143,اشوف,show
1144,الاوردر,order
1145,,
1146,شوف الاوردرات,show order
1147,تعرضلي,show
1148,الطلبات,order
1149,,
1150,,
1151,,
1152,,
1153,تابعلي الطلبات,show order
1154,اعرضلي,show
1155,رقم ماوصل,phone_number late
1156,,
1157,شوف الاوردر,show order
1158,اشوف اوردراتي,show order
1159,منيو,Menu
1160,عايزة,show
1161,اشوف المنيو,show Menu
1162,مع,add
1163,تغيير البيانات,change update_data
1164,البيانات,update_data
1165,رقم,phone_number
1166,الاوردر,order
1167,,
1168,الفاتورة,invoice
1169,الفاتورة,invoice
1170,مع,add
1171,اشوف منيو,show Menu
1172,,
1173,الاوردر,order
1174,منيو الاطباق,Menu Menu
1175,,
1176,لحد,late
1177,عايزة احدث البيانات,show update_data update_data
1178,,
1179,السابقة,previous
1180,,
1181,المنيو,Menu
1182,العنوان,address
